Wall time,Step,Value
1668584224.432728,0,0.11351672559976578
1668584242.808985,1,0.02126125432550907
1668584261.846657,2,0.015128755941987038
1668584280.261506,3,0.011748947203159332
1668584299.595609,4,0.00945715419948101
1668584318.572737,5,0.007612321991473436
1668584338.032909,6,0.006891126744449139
1668584357.548569,7,0.006703992839902639
1668584377.175161,8,0.0053995512425899506
1668584396.920088,9,0.005512902978807688
1668584416.55559,10,0.004195089917629957
1668584435.736411,11,0.004500472918152809
1668584454.657759,12,0.0035759173333644867
1668584473.815802,13,0.003403615904971957
1668584492.604173,14,0.0035767110530287027
1668584510.990581,15,0.00332435080781579
1668584530.070441,16,0.0032984730787575245
1668584548.877367,17,0.0025448573287576437
1668584568.108948,18,0.0022551328875124454
1668584590.457013,19,0.002041185973212123
1668584621.141865,20,0.0024018643889576197
1668584683.258511,21,0.002271291334182024
1668584754.491278,22,0.002122695790603757
1668584799.053743,23,0.0016267074970528483
1668584876.533081,24,0.001549441716633737
1668584943.322638,25,0.0012218671618029475
1668584962.289138,26,0.0016346306074410677
1668584981.400093,27,0.001315294299274683
1668584999.822578,28,0.001234225695952773
1668585018.208546,29,0.0013504739617928863
