,name,loss_all_face,loss_all_mask,loss_all_age,loss_face,loss_mask,loss_age,face_acc,mask_acc,age_mse,age_mae
0,20221211-2148_regression10epochsface_10epochsmask_50epochsage_0.25alpha_0.2dropout_l2,254.4205780029297,322.38446044921875,238.13613891601562,0.015345125459134579,0.04045822098851204,228.40948486328125,0.9953190088272095,0.9872796535491943,228.40948486328125,10.759562492370605
1,20221211-2234_regression10epochsface_10epochsmask_50epochsage_0.25alpha_0.2dropout,250.81155395507812,319.3795166015625,204.83639526367188,0.015575657598674297,0.040763724595308304,204.83639526367188,0.9947988986968994,0.9877259731292725,204.83639526367188,10.60113525390625
2,20221211-2320_regression10epochsface_10epochsmask_50epochsage_0.25alpha_0.5dropout_l2,266.36767578125,337.3568420410156,241.54859924316406,0.01559517066925764,0.04135231301188469,231.869873046875,0.9946255087852478,0.9872796535491943,231.869873046875,10.958486557006836
3,20221212-0010_regression10epochsface_10epochsmask_50epochsage_0.25alpha_0.5dropout,254.63748168945312,324.896728515625,188.62355041503906,0.015089009888470173,0.04051700606942177,188.62355041503906,0.9947988986968994,0.9881722927093506,188.62355041503906,9.941973686218262
4,20221212-0059_regression10epochsface_10epochsmask_50epochsage_0.25alpha_0.7dropout_l2,274.2021789550781,346.469970703125,238.61257934570312,0.015486239455640316,0.04037589579820633,227.81298828125,0.9951456189155579,0.9870564341545105,227.81298828125,10.990460395812988
5,20221212-0154_regression10epochsface_10epochsmask_50epochsage_0.25alpha_0.7dropout,271.8902282714844,348.38250732421875,292.6332702636719,0.015671025961637497,0.04004887491464615,292.6332702636719,0.9947988986968994,0.9875028133392334,292.6332702636719,12.609437942504883
6,20221212-0245_regression10epochsface_10epochsmask_50epochsage_0.25alpha_0.2dropout_largeVersion_l2,253.24246215820312,319.3040771484375,266.4103088378906,0.015492962673306465,0.04064781218767166,252.78366088867188,0.9946255087852478,0.9875028133392334,252.78366088867188,10.851983070373535
7,20221212-0348_regression10epochsface_10epochsmask_50epochsage_0.25alpha_0.2dropout_largeVersion,251.37905883789062,321.451416015625,294.1562194824219,0.015531202778220177,0.04059890657663345,294.1562194824219,0.9946255087852478,0.9866101145744324,294.1562194824219,11.912152290344238
8,20221212-0442_regression10epochsface_10epochsmask_50epochsage_0.25alpha_0.5dropout_largeVersion_l2,327.64910888671875,416.1653137207031,420.8504333496094,0.01551220566034317,0.04031868278980255,406.1974792480469,0.9947988986968994,0.9883954524993896,406.1974792480469,15.090572357177734
9,20221212-0552_regression10epochsface_10epochsmask_50epochsage_0.25alpha_0.5dropout_largeVersion,297.181884765625,380.9407043457031,366.5179748535156,0.015623469837009907,0.04064679145812988,366.5179748535156,0.994972288608551,0.9877259731292725,366.5179748535156,14.496254920959473
10,20221212-0646_regression10epochsface_10epochsmask_50epochsage_0.25alpha_0.7dropout_largeVersion_l2,461.30908203125,589.9677734375,693.8168334960938,0.015402211807668209,0.0412527434527874,682.142822265625,0.994972288608551,0.9868332743644714,682.142822265625,20.867774963378906
11,20221212-0759_regression10epochsface_10epochsmask_50epochsage_0.25alpha_0.7dropout_largeVersion,405.2430114746094,520.7584228515625,594.0326538085938,0.015111762098968029,0.04102570191025734,594.0326538085938,0.994972288608551,0.9872796535491943,594.0326538085938,19.49738311767578
12,20221214-2308_regression_50epochs_0.25alpha_0.2dropoutmse_ValOnlyAge,49.868927001953125,63.166717529296875,70.00543212890625,0.01711347885429859,0.0396878607571125,212.10690307617188,0.9934118986129761,0.9875028133392334,212.10690307617188,10.955794334411621
13,20221214-2352_regression_50epochs_0.25alpha_0.2dropoutmse_ValOnlyAge_largeVersion,58.573974609375,74.9735336303711,90.4535903930664,0.017093513160943985,0.03964813053607941,274.0711364746094,0.9934118986129761,0.9875028133392334,274.0711364746094,11.60055160522461
14,regression_100epochs_0.25alpha_0.2dropoutmse,41.2301025390625,52.44154357910156,58.03370666503906,0.01412118412554264,0.04307999089360237,175.8443603515625,0.9953190088272095,0.985271155834198,9.627636909484863,175.8443603515625
15,regression_100epochs_0.25alpha_0.2dropoutmse_largeVersion,39.16399002075195,50.093387603759766,56.267208099365234,0.013935252092778683,0.04187741503119469,170.4898223876953,0.9953190088272095,0.9850479960441589,9.134195327758789,170.4898223876953
16,regression_100epochs_0.25alpha_0.2dropoutmse_ValOnlyAge,259.24951171875,333.7019958496094,414.2146301269531,0.015386030077934265,0.0433666817843914,1255.178466796875,0.9947988986968994,0.9859406352043152,30.124792098999023,1255.178466796875
17,regression_100epochs_0.25alpha_0.2dropoutmse_ValOnlyAge_largeVersion,257.82843017578125,331.87298583984375,411.9534912109375,0.015433336608111858,0.04482404515147209,1248.3267822265625,0.9947988986968994,0.985271155834198,30.009016036987305,1248.3267822265625
