Wall time,Step,Value
1668592247.332069,0,0.8417855501174927
1668592271.500412,1,0.911734938621521
1668592295.495678,2,0.9391624331474304
1668592319.779025,3,0.9432121515274048
1668592344.27708,4,0.9551771879196167
1668592368.659197,5,0.9629084467887878
1668592392.619988,6,0.9687068462371826
1668592416.478661,7,0.9696272611618042
1668592440.658355,8,0.9735848903656006
1668592465.25865,9,0.976530134677887
1668592489.775742,10,0.9751495718955994
1668592514.096067,11,0.9815002083778381
1668592538.482264,12,0.9832489490509033
1668592562.758114,13,0.9844454526901245
1668592587.447006,14,0.9844454526901245
1668592611.879992,15,0.9884031414985657
1668592636.085049,16,0.9899677634239197
1668592660.707562,17,0.9845374822616577
1668592684.889947,18,0.9876668453216553
1668592709.09621,19,0.9895076155662537
1668592733.59784,20,0.992913007736206
1668592758.17429,21,0.9932811856269836
1668592782.756332,22,0.9914404153823853
1668592807.225333,23,0.9918085336685181
1668592831.776066,24,0.9930971264839172
1668592856.163646,25,0.9937413930892944
1668592880.691894,26,0.9930050373077393
1668592905.239589,27,0.9957662224769592
1668592929.680184,28,0.9906120300292969
1668592953.893893,29,0.9939254522323608
1668592978.453089,30,0.9947537779808044
1668593002.721979,31,0.9957662224769592
1668593027.00565,32,0.9960423111915588
1668593051.709732,33,0.9955821633338928
1668593076.045485,34,0.995121955871582
1668593100.21033,35,0.9964104890823364
1668593124.596192,36,0.9970547556877136
1668593148.775254,37,0.99723881483078
1668593173.43857,38,0.9965945482254028
1668593198.193164,39,0.9971467852592468
1668593222.853994,40,0.9957662224769592
1668593247.543154,41,0.9957662224769592
1668593272.132906,42,0.9969627261161804
1668593297.155628,43,0.99723881483078
1668593321.425241,44,0.995121955871582
1668593346.014045,45,0.9989875555038452
1668593370.56075,46,0.99723881483078
1668593395.287432,47,0.9976069927215576
1668593419.795741,48,0.9953060150146484
1668593444.501836,49,0.9965025186538696
1668593469.256284,50,0.9969627261161804
1668593493.938364,51,0.9976069927215576
1668593518.382837,52,0.9995397925376892
1668593543.078974,53,1.0
1668593567.556687,54,1.0
1668593591.945557,55,0.9999079704284668
1668593616.709361,56,0.9923607707023621
1668593642.129749,57,0.996778666973114
1668593666.714821,58,0.9989875555038452
1668593691.635484,59,0.99723881483078
1668593716.758997,60,0.99622642993927
1668593741.638201,61,0.998343288898468
1668593766.664187,62,0.9999079704284668
1668593791.321284,63,0.9997239112854004
1668593816.292946,64,0.9971467852592468
1668593841.231111,65,0.9963184595108032
1668593866.347934,66,0.997330904006958
1668593891.402053,67,0.9986194372177124
1668593916.638284,68,0.9993557333946228
1668593941.880878,69,0.998343288898468
1668593967.185087,70,0.9975149631500244
1668593993.009614,71,0.9985274076461792
1668594018.078758,72,0.9979751706123352
1668594043.632755,73,0.9979751706123352
1668594068.605559,74,0.998343288898468
