Wall time,Step,Value
1668619187.223358,0,0.35302457213401794
1668619211.053026,1,0.1977994740009308
1668619234.891964,2,0.14585129916667938
1668619258.691351,3,0.11872702091932297
1668619282.462588,4,0.10501300543546677
1668619306.279476,5,0.09851688891649246
1668619330.108551,6,0.07766352593898773
1668619353.883064,7,0.07138668745756149
1668619377.702026,8,0.058554600924253464
1668619401.513059,9,0.06512328237295151
1668619425.380325,10,0.05929388850927353
1668619449.234467,11,0.04780881106853485
1668619473.073325,12,0.04942580312490463
1668619496.91451,13,0.036134932190179825
1668619520.802749,14,0.03162479028105736
1668619544.649473,15,0.03837794065475464
1668619568.473796,16,0.03740410506725311
1668619592.333851,17,0.03710634633898735
1668619616.224073,18,0.023773184046149254
1668619640.05335,19,0.021899711340665817
1668619663.882638,20,0.031944625079631805
1668619687.701189,21,0.018346771597862244
1668619711.57354,22,0.017549589276313782
1668619735.354351,23,0.020652303472161293
1668619759.133649,24,0.021741090342402458
1668619782.993267,25,0.024808645248413086
1668619806.853973,26,0.01194001454859972
1668619830.675288,27,0.014372236095368862
1668619854.508516,28,0.022414036095142365
1668619878.406744,29,0.015907084569334984
