Wall time,Step,Value
1668586072.210991,0,0.8393005132675171
1668586093.167205,1,0.9893234968185425
1668586113.974907,2,0.9937413930892944
1668586135.365802,3,0.9944776892662048
1668586157.550851,4,0.995674192905426
1668586177.926226,5,0.9965945482254028
1668586198.769632,6,0.9964104890823364
1668586220.070152,7,0.9968706965446472
1668586241.483415,8,0.9964104890823364
1668586261.861195,9,0.997330904006958
1668586283.180113,10,0.99723881483078
1668586304.843169,11,0.9968706965446472
1668586326.053633,12,0.9976069927215576
1668586347.872353,13,0.9979751706123352
1668586368.812581,14,0.9976990222930908
1668586389.470552,15,0.9979751706123352
1668586410.967954,16,0.997791051864624
1668586432.575113,17,0.9984353184700012
1668586454.469473,18,0.9978830814361572
1668586476.782977,19,0.9980672001838684
1668586499.152033,20,0.998343288898468
1668586521.112882,21,0.9984353184700012
1668586542.043394,22,0.9984353184700012
1668586563.837366,23,0.998343288898468
1668586586.021545,24,0.9982512593269348
1668586608.164349,25,0.9981592297554016
1668586630.333774,26,0.9980672001838684
1668586651.949895,27,0.9988034963607788
1668586674.257122,28,0.9989875555038452
1668586695.314726,29,0.9987114667892456
