Wall time,Step,Value
1668586072.210257,0,0.3738609850406647
1668586093.16648,1,0.06220487877726555
1668586113.974202,2,0.039388712495565414
1668586135.365347,3,0.030305059626698494
1668586157.550096,4,0.02407071180641651
1668586177.925555,5,0.020138833671808243
1668586198.769175,6,0.018603932112455368
1668586220.069742,7,0.016141463071107864
1668586241.482979,8,0.015054596588015556
1668586261.860468,9,0.013899297453463078
1668586283.179604,10,0.011766384355723858
1668586304.842647,11,0.011966473422944546
1668586326.053007,12,0.011435644701123238
1668586347.871847,13,0.01035927701741457
1668586368.812092,14,0.0100178811699152
1668586389.470062,15,0.009385047480463982
1668586410.967532,16,0.009319937787950039
1668586432.574667,17,0.00885744858533144
1668586454.468923,18,0.008748364634811878
1668586476.782525,19,0.008179263211786747
1668586499.151567,20,0.00791232381016016
1668586521.11234,21,0.0077023254707455635
1668586542.042951,22,0.007325469516217709
1668586563.836868,23,0.007067166268825531
1668586586.020997,24,0.006780635099858046
1668586608.163893,25,0.006747894454747438
1668586630.333336,26,0.006731792818754911
1668586651.949452,27,0.006063815206289291
1668586674.256572,28,0.005368879530578852
1668586695.314238,29,0.006271204445511103
