Wall time,Step,Value
1668602513.715181,0,0.33979278802871704
1668602532.870432,1,0.06554029136896133
1668602551.944129,2,0.040007010102272034
1668602571.102328,3,0.03001571074128151
1668602590.303198,4,0.025733433663845062
1668602609.475274,5,0.022434614598751068
1668602628.856263,6,0.019914669916033745
1668602648.100701,7,0.01787332072854042
1668602667.648381,8,0.016922326758503914
1668602687.246563,9,0.015879103913903236
1668602706.917308,10,0.01291360892355442
1668602726.159193,11,0.014023741707205772
1668602745.355257,12,0.014115402474999428
1668602764.361357,13,0.013517424464225769
1668602783.484893,14,0.011300336569547653
1668602802.710341,15,0.011996312066912651
1668602821.915882,16,0.010840597562491894
1668602841.204171,17,0.010832348838448524
1668602860.820512,18,0.010467049665749073
1668602880.337775,19,0.010678066872060299
1668602899.488652,20,0.010367886163294315
1668602918.767895,21,0.00957966037094593
1668602937.886576,22,0.010254869237542152
1668602957.440071,23,0.009487154893577099
1668602976.896021,24,0.00910975318402052
1668602996.209414,25,0.008238386362791061
1668603016.125166,26,0.009561354294419289
1668603035.556195,27,0.00868205912411213
1668603054.972003,28,0.007701283786445856
1668603074.158466,29,0.007940771989524364
