Wall time,Step,Value
1668620515.922339,0,0.3802846670150757
1668620534.894678,1,0.22873283922672272
1668620554.133751,2,0.18190136551856995
1668620573.316881,3,0.15353050827980042
1668620592.635033,4,0.13632145524024963
1668620611.89728,5,0.1300051510334015
1668620630.992116,6,0.10510089993476868
1668620649.713351,7,0.09626917541027069
1668620668.443097,8,0.08031399548053741
1668620687.826057,9,0.08618632704019547
1668620706.997453,10,0.07242385298013687
1668620725.886263,11,0.06826446205377579
1668620745.299974,12,0.05566391721367836
1668620764.351314,13,0.06259825080633163
1668620783.681344,14,0.0492442324757576
1668620802.72667,15,0.04967857152223587
1668620821.495847,16,0.0383724644780159
1668620840.217772,17,0.043551620095968246
1668620859.062671,18,0.031108958646655083
1668620877.982437,19,0.035547658801078796
1668620896.83386,20,0.03394462913274765
1668620915.460879,21,0.03075571544468403
1668620933.970959,22,0.026726756244897842
1668620952.591275,23,0.026150578632950783
1668620971.186867,24,0.027715180069208145
1668620990.00385,25,0.022779807448387146
1668621008.595126,26,0.021337660029530525
1668621027.076308,27,0.020982667803764343
1668621045.664382,28,0.019575659185647964
1668621064.329254,29,0.019779160618782043
