,name,loss,acc
0,model_scratch_50epochs_32batch,3.653867244720459,0.7669528126716614
1,model_transfer_10epochs_32batch,0.0009301577811129391,1.0
2,model_scratch_30epochs_64batch,1.0380252599716187,0.8888412117958069
3,model_scratch_30epochs_32batch,14.331982612609863,0.6171674132347107
4,model_transfer_10epochs_64batch,0.0019136766204610467,0.9995708465576172
5,model_scratch_50epochs_64batch,7.780028820037842,0.6381974220275879
6,model_transfer_30epochs_64batch,0.00033469690242782235,1.0
7,model_scratch_100epochs_64batch,0.07491795718669891,0.9939914345741272
8,model_scratch_10epochs_32batch,5.714449405670166,0.5527896881103516
9,model_scratch_10epochs_64batch,2.25482439994812,0.5527896881103516
10,model_scratch_100epochs_32batch,0.40032002329826355,0.9124463796615601
11,model_transfer_10epochs_128batch,0.004435154143720865,0.9995708465576172
12,model_transfer_30epochs_32batch,8.534827793482691e-05,1.0
13,model_transfer_10epochs_256batch,0.007409408688545227,0.9991416335105896
