,name,loss,acc,epochs,batch,alpha,depth_multiplier
0,modelv1_transfer_10epochs_256batch,0.005878780968487263,0.9991416335105896,10,256,,
1,modelv1_transfer_10epochs_128batch,0.004270044155418873,0.9991416335105896,10,128,,
2,modelv1_transfer_30epochs_128batch_075alpha,0.002416187897324562,0.9991416335105896,30,128,075,
3,modelv1_transfer_30epochs_128batch_025alpha,0.013653590343892574,0.9965665340423584,30,128,025,
4,modelv1_transfer_10epochs_128batch_05alpha,0.008581290021538734,0.9974249005317688,10,128,05,
5,modelv1_transfer_10epochs_32batch,0.0010236873058602214,1.0,10,32,,
6,modelv1_transfer_10epochs_128batch_025alpha,0.02249704860150814,0.99442058801651,10,128,025,
7,modelv1_transfer_10epochs_64batch,0.0024615933652967215,0.9995708465576172,10,64,,
8,modelv1_transfer_30epochs_128batch_05alpha,0.004419717006385326,0.9982832670211792,30,128,05,
9,modelv1_transfer_30epochs_256batch,0.002572563709691167,0.9995708465576172,30,256,,
10,modelv1_transfer_30epochs_128batch,0.00103362079244107,1.0,30,128,,
11,modelv1_transfer_30epochs_64batch,0.0003091630933340639,1.0,30,64,,
12,modelv1_transfer_30epochs_32batch,0.0005831393063999712,1.0,30,32,,
13,modelv1_transfer_10epochs_128batch_075alpha,0.0066422270610928535,0.9987124800682068,10,128,075,
