,name,loss,acc
0,model_scratch_50epochs_32batch,0.6323340535163879,0.9021459221839905
1,model_transfer_10epochs_32batch,0.0009301599347963929,1.0
2,model_scratch_120epochs_32batch,0.07496092468500137,0.9888412356376648
3,model_scratch_30epochs_64batch,1.4853109121322632,0.8695279359817505
4,model_scratch_150epochs_32batch,0.008937745355069637,0.996995747089386
5,model_scratch_150epochs_64batch,0.05258249118924141,0.990128755569458
6,model_scratch_10epochs_128batch,0.813380241394043,0.5527896881103516
7,model_scratch_30epochs_32batch,33.74985122680664,0.4995708167552948
8,model_scratch_120epochs_64batch,0.0377047099173069,0.9952789545059204
9,model_transfer_10epochs_64batch,0.0019136754563078284,0.9995708465576172
10,model_scratch_50epochs_64batch,26.61176300048828,0.5287553668022156
11,model_transfer_30epochs_64batch,0.0003346970188431442,1.0
12,model_scratch_100epochs_64batch,0.07491796463727951,0.9939914345741272
13,model_scratch_10epochs_32batch,5.76405143737793,0.5527896881103516
14,model_scratch_10epochs_64batch,2.5055084228515625,0.5527896881103516
15,model_scratch_100epochs_32batch,0.06624849885702133,0.9896996021270752
16,model_transfer_10epochs_128batch,0.004435151815414429,0.9995708465576172
17,model_transfer_30epochs_32batch,8.534840162610635e-05,1.0
18,model_transfer_10epochs_256batch,0.007409411016851664,0.9991416335105896
19,model_10epochs,0.9294891357421875,0.8270386457443237
20,model_resnet5010epochs_32batch,0.2102975696325302,0.9257510900497437
21,model_scratch_50epochs_128batch,0.54803866147995,0.9339056015014648
22,model_transfer_30epochs_128batch,0.0008084969595074654,1.0
23,model_transfer_30epochs_256batch,0.002294208388775587,0.9995708465576172
24,model_scratch_200epochs_32batch,0.13271333277225494,0.9819742441177368
25,model_scratch_200epochs_64batch,0.5763210654258728,0.9090129137039185
26,model_scratch_30epochs_128batch,4.128042697906494,0.5527896881103516
27,model_50epochs,0.9640144109725952,0.9042918682098389
