Wall time,Step,Value
1668604895.352511,0,0.8639668822288513
1668604924.424383,1,0.9271053671836853
1668604953.898692,2,0.9468016624450684
1668604982.979304,3,0.9553612470626831
1668605012.015192,4,0.9626322984695435
1668605041.056711,5,0.9659457206726074
1668605070.128709,6,0.9732167720794678
1668605099.23136,7,0.9768983125686646
1668605128.358829,8,0.9763460755348206
1668605157.453063,9,0.9838011860847473
1668605186.590517,10,0.9821444749832153
1668605215.683259,11,0.9821444749832153
1668605244.917933,12,0.9841693639755249
1668605274.037746,13,0.9860101342201233
1668605303.142445,14,0.9865623712539673
1668605332.277775,15,0.9889553785324097
1668605361.427477,16,0.9892314672470093
1668605390.553219,17,0.9891394376754761
1668605419.796365,18,0.9927289485931396
1668605449.588097,19,0.9899677634239197
1668605479.254894,20,0.991348385810852
1668605510.03078,21,0.9946617484092712
1668605541.174907,22,0.9936493039131165
1668605572.25711,23,0.9910722374916077
1668605603.32764,24,0.9952139854431152
1668605634.386464,25,0.9964104890823364
1668605665.310473,26,0.9952139854431152
1668605696.47847,27,0.9921767115592957
1668605727.704116,28,0.9928209781646729
1668605756.966351,29,0.9949378967285156
1668605786.19119,30,0.997330904006958
1668605815.434914,31,0.998343288898468
1668605844.639001,32,0.998343288898468
1668605873.841308,33,0.9907041192054749
1668605903.165475,34,0.99346524477005
1668605932.488624,35,0.998895525932312
1668605961.771705,36,0.9964104890823364
1668605991.066179,37,0.9965945482254028
1668606020.405361,38,0.9970547556877136
1668606049.715646,39,0.9976069927215576
1668606079.049634,40,0.9966866374015808
1668606108.342098,41,0.9955821633338928
1668606137.649791,42,0.997330904006958
1668606167.015472,43,0.998343288898468
1668606196.309822,44,0.9992637038230896
1668606225.567131,45,0.9953980445861816
1668606254.858023,46,0.9986194372177124
1668606284.17863,47,0.9989875555038452
1668606313.436173,48,0.9999079704284668
1668606342.748021,49,0.9995397925376892
1668606372.024853,50,0.9930050373077393
1668606401.327398,51,0.9953980445861816
1668606430.615175,52,0.9975149631500244
1668606459.928387,53,0.998895525932312
1668606489.281148,54,0.9968706965446472
1668606518.583217,55,0.9985274076461792
1668606547.875315,56,0.9995397925376892
1668606577.2149,57,0.9974229335784912
1668606606.610634,58,0.9952139854431152
1668606635.967424,59,0.9987114667892456
1668606665.297156,60,0.9999079704284668
1668606694.601669,61,1.0
1668606723.940893,62,1.0
1668606753.228417,63,0.9942015409469604
1668606782.514081,64,0.9975149631500244
1668606811.754641,65,0.9988034963607788
1668606841.063732,66,0.9985274076461792
1668606870.382185,67,0.9976069927215576
1668606899.704733,68,0.9995397925376892
1668606928.996104,69,0.998895525932312
1668606958.312785,70,0.997330904006958
1668606987.655857,71,0.9998159408569336
1668607016.992079,72,0.9974229335784912
1668607046.286647,73,0.9982512593269348
1668607075.570485,74,0.9995397925376892
